name,module,stable_url,http_status,resolved_url,latest_url,latest_http_status
notEqual?,comparison,https://arturo-lang.io/documentation/library/comparison/notequal-,200,https://arturo-lang.io/documentation/library/comparison/notequal-,https://arturo-lang.io/latest/documentation/library/comparison/notequal-,200
same?,comparison,https://arturo-lang.io/documentation/library/comparison/same-,200,https://arturo-lang.io/documentation/library/comparison/same-,https://arturo-lang.io/latest/documentation/library/comparison/same-,200
alias,core,https://arturo-lang.io/documentation/library/core/alias,200,https://arturo-lang.io/documentation/library/core/alias,https://arturo-lang.io/latest/documentation/library/core/alias,200
any,core,https://arturo-lang.io/documentation/library/core/any,200,https://arturo-lang.io/documentation/library/core/any,https://arturo-lang.io/latest/documentation/library/core/any,200
break,core,https://arturo-lang.io/documentation/library/core/break,200,https://arturo-lang.io/documentation/library/core/break,https://arturo-lang.io/latest/documentation/library/core/break,200
call,core,https://arturo-lang.io/documentation/library/core/call,200,https://arturo-lang.io/documentation/library/core/call,https://arturo-lang.io/latest/documentation/library/core/call,200
case,core,https://arturo-lang.io/documentation/library/core/case,200,https://arturo-lang.io/documentation/library/core/case,https://arturo-lang.io/latest/documentation/library/core/case,200
coalesce,core,https://arturo-lang.io/documentation/library/core/coalesce,200,https://arturo-lang.io/documentation/library/core/coalesce,https://arturo-lang.io/latest/documentation/library/core/coalesce,200
continue,core,https://arturo-lang.io/documentation/library/core/continue,200,https://arturo-lang.io/documentation/library/core/continue,https://arturo-lang.io/latest/documentation/library/core/continue,200
discard,core,https://arturo-lang.io/documentation/library/core/discard,200,https://arturo-lang.io/documentation/library/core/discard,https://arturo-lang.io/latest/documentation/library/core/discard,200
do,core,https://arturo-lang.io/documentation/library/core/do,200,https://arturo-lang.io/documentation/library/core/do,https://arturo-lang.io/latest/documentation/library/core/do,200
dup,core,https://arturo-lang.io/documentation/library/core/dup,200,https://arturo-lang.io/documentation/library/core/dup,https://arturo-lang.io/latest/documentation/library/core/dup,200
ensure,core,https://arturo-lang.io/documentation/library/core/ensure,200,https://arturo-lang.io/documentation/library/core/ensure,https://arturo-lang.io/latest/documentation/library/core/ensure,200
export,core,https://arturo-lang.io/documentation/library/core/export,200,https://arturo-lang.io/documentation/library/core/export,https://arturo-lang.io/latest/documentation/library/core/export,200
express,core,https://arturo-lang.io/documentation/library/core/express,200,https://arturo-lang.io/documentation/library/core/express,https://arturo-lang.io/latest/documentation/library/core/express,200
function,core,https://arturo-lang.io/documentation/library/core/function,200,https://arturo-lang.io/documentation/library/core/function,https://arturo-lang.io/latest/documentation/library/core/function,200
if,core,https://arturo-lang.io/documentation/library/core/if,200,https://arturo-lang.io/documentation/library/core/if,https://arturo-lang.io/latest/documentation/library/core/if,200
import,core,https://arturo-lang.io/documentation/library/core/import,200,https://arturo-lang.io/documentation/library/core/import,https://arturo-lang.io/latest/documentation/library/core/import,200
let,core,https://arturo-lang.io/documentation/library/core/let,200,https://arturo-lang.io/documentation/library/core/let,https://arturo-lang.io/latest/documentation/library/core/let,200
method,core,https://arturo-lang.io/documentation/library/core/method,200,https://arturo-lang.io/documentation/library/core/method,https://arturo-lang.io/latest/documentation/library/core/method,200
module,core,https://arturo-lang.io/documentation/library/core/module,200,https://arturo-lang.io/documentation/library/core/module,https://arturo-lang.io/latest/documentation/library/core/module,200
new,core,https://arturo-lang.io/documentation/library/core/new,200,https://arturo-lang.io/documentation/library/core/new,https://arturo-lang.io/latest/documentation/library/core/new,200
null,core,https://arturo-lang.io/documentation/library/core/null,200,https://arturo-lang.io/documentation/library/core/null,https://arturo-lang.io/latest/documentation/library/core/null,200
parse,core,https://arturo-lang.io/documentation/library/core/parse,200,https://arturo-lang.io/documentation/library/core/parse,https://arturo-lang.io/latest/documentation/library/core/parse,200
return,core,https://arturo-lang.io/documentation/library/core/return,200,https://arturo-lang.io/documentation/library/core/return,https://arturo-lang.io/latest/documentation/library/core/return,200
set?,core,https://arturo-lang.io/documentation/library/core/set-,200,https://arturo-lang.io/documentation/library/core/set-,https://arturo-lang.io/latest/documentation/library/core/set-,200
switch,core,https://arturo-lang.io/documentation/library/core/switch,200,https://arturo-lang.io/documentation/library/core/switch,https://arturo-lang.io/latest/documentation/library/core/switch,200
unless,core,https://arturo-lang.io/documentation/library/core/unless,200,https://arturo-lang.io/documentation/library/core/unless,https://arturo-lang.io/latest/documentation/library/core/unless,200
unset,core,https://arturo-lang.io/documentation/library/core/unset,200,https://arturo-lang.io/documentation/library/core/unset,https://arturo-lang.io/latest/documentation/library/core/unset,200
unstack,core,https://arturo-lang.io/documentation/library/core/unstack,200,https://arturo-lang.io/documentation/library/core/unstack,https://arturo-lang.io/latest/documentation/library/core/unstack,200
until,core,https://arturo-lang.io/documentation/library/core/until,200,https://arturo-lang.io/documentation/library/core/until,https://arturo-lang.io/latest/documentation/library/core/until,200
using,core,https://arturo-lang.io/documentation/library/core/using,200,https://arturo-lang.io/documentation/library/core/using,https://arturo-lang.io/latest/documentation/library/core/using,200
var,core,https://arturo-lang.io/documentation/library/core/var,200,https://arturo-lang.io/documentation/library/core/var,https://arturo-lang.io/latest/documentation/library/core/var,200
when,core,https://arturo-lang.io/documentation/library/core/when,200,https://arturo-lang.io/documentation/library/core/when,https://arturo-lang.io/latest/documentation/library/core/when,200
while,core,https://arturo-lang.io/documentation/library/core/while,200,https://arturo-lang.io/documentation/library/core/while,https://arturo-lang.io/latest/documentation/library/core/while,200
window,core,https://arturo-lang.io/documentation/library/core/window,200,https://arturo-lang.io/documentation/library/core/window,https://arturo-lang.io/latest/documentation/library/core/window,200
with,core,https://arturo-lang.io/documentation/library/core/with,200,https://arturo-lang.io/documentation/library/core/with,https://arturo-lang.io/latest/documentation/library/core/with,200
crc,crypto,https://arturo-lang.io/documentation/library/crypto/crc,200,https://arturo-lang.io/documentation/library/crypto/crc,https://arturo-lang.io/latest/documentation/library/crypto/crc,200
decode,crypto,https://arturo-lang.io/documentation/library/crypto/decode,200,https://arturo-lang.io/documentation/library/crypto/decode,https://arturo-lang.io/latest/documentation/library/crypto/decode,200
digest,crypto,https://arturo-lang.io/documentation/library/crypto/digest,200,https://arturo-lang.io/documentation/library/crypto/digest,https://arturo-lang.io/latest/documentation/library/crypto/digest,200
encode,crypto,https://arturo-lang.io/documentation/library/crypto/encode,200,https://arturo-lang.io/documentation/library/crypto/encode,https://arturo-lang.io/latest/documentation/library/crypto/encode,200
hash,crypto,https://arturo-lang.io/documentation/library/crypto/hash,200,https://arturo-lang.io/documentation/library/crypto/hash,https://arturo-lang.io/latest/documentation/library/crypto/hash,200
close,databases,https://arturo-lang.io/documentation/library/databases/close,200,https://arturo-lang.io/documentation/library/databases/close,https://arturo-lang.io/latest/documentation/library/databases/close,200
open,databases,https://arturo-lang.io/documentation/library/databases/open,200,https://arturo-lang.io/documentation/library/databases/open,https://arturo-lang.io/latest/documentation/library/databases/open,200
query,databases,https://arturo-lang.io/documentation/library/databases/query,200,https://arturo-lang.io/documentation/library/databases/query,https://arturo-lang.io/latest/documentation/library/databases/query,200
store,databases,https://arturo-lang.io/documentation/library/databases/store,200,https://arturo-lang.io/documentation/library/databases/store,https://arturo-lang.io/latest/documentation/library/databases/store,200
after,dates,https://arturo-lang.io/documentation/library/dates/after,200,https://arturo-lang.io/documentation/library/dates/after,https://arturo-lang.io/latest/documentation/library/dates/after,200
before,dates,https://arturo-lang.io/documentation/library/dates/before,200,https://arturo-lang.io/documentation/library/dates/before,https://arturo-lang.io/latest/documentation/library/dates/before,200
friday?,dates,https://arturo-lang.io/documentation/library/dates/friday-,200,https://arturo-lang.io/documentation/library/dates/friday-,https://arturo-lang.io/latest/documentation/library/dates/friday-,200
future?,dates,https://arturo-lang.io/documentation/library/dates/future-,200,https://arturo-lang.io/documentation/library/dates/future-,https://arturo-lang.io/latest/documentation/library/dates/future-,200
leap?,dates,https://arturo-lang.io/documentation/library/dates/leap-,200,https://arturo-lang.io/documentation/library/dates/leap-,https://arturo-lang.io/latest/documentation/library/dates/leap-,200
monday?,dates,https://arturo-lang.io/documentation/library/dates/monday-,200,https://arturo-lang.io/documentation/library/dates/monday-,https://arturo-lang.io/latest/documentation/library/dates/monday-,200
now,dates,https://arturo-lang.io/documentation/library/dates/now,200,https://arturo-lang.io/documentation/library/dates/now,https://arturo-lang.io/latest/documentation/library/dates/now,200
past?,dates,https://arturo-lang.io/documentation/library/dates/past-,200,https://arturo-lang.io/documentation/library/dates/past-,https://arturo-lang.io/latest/documentation/library/dates/past-,200
